CustomerID,Country,UK_vs_International,first_invoice,last_invoice,Tenure_days,Recency,Frequency,Monetary,TotalQuantity,TotalLines,DistinctStockCodes,AvgBasketSize,AvgUnitPrice,CancellationRate,R_score,F_score,M_score,Segment
12391,Cyprus,0,2011-11-18 12:07:00,2011-11-18 12:07:00,0,12,1,439.66,293,93,92,293.0,1.501,0.0,4,1,2,Potential Loyalists
12393,Australia,0,2011-01-11 09:47:00,2011-09-28 15:41:00,260,63,4,1582.6000000000001,816,64,47,204.0,1.939,0.0,3,4,4,Lost
12394,Belgium,0,2011-05-06 14:01:00,2011-10-07 08:08:00,153,54,2,1272.48,819,27,26,409.5,1.554,0.0,3,2,4,Promising
12395,Belgium,0,2010-12-03 16:35:00,2011-11-24 12:20:00,355,6,12,2998.28,2118,156,91,176.5,1.416,0.018867924528301886,5,5,5,Champions
12397,Belgium,0,2011-07-27 14:21:00,2011-11-04 09:52:00,99,26,2,2409.9000000000005,1263,126,110,631.5,1.908,0.0,4,2,5,Loyal Customers
12398,Switzerland,0,2011-10-25 10:27:00,2011-10-25 10:27:00,0,36,1,1635.6599999999999,1394,85,85,1394.0,1.173,0.0,3,1,4,Lost
12399,Belgium,0,2011-03-23 09:42:00,2011-08-12 13:15:00,142,110,4,1108.65,1178,59,47,294.5,0.941,0.0,2,4,4,At Risk
12401,Belgium,0,2011-02-09 13:50:00,2011-02-09 13:50:00,0,294,1,84.3,11,5,5,11.0,7.664,0.0,1,1,1,Hibernating
12402,Belgium,0,2011-01-20 13:49:00,2011-01-20 13:49:00,0,314,1,225.6,94,11,11,94.0,2.4,0.0,1,1,1,Hibernating
12403,Denmark,0,2011-10-21 10:51:00,2011-10-21 11:00:00,0,40,1,409.7,96,5,5,96.0,4.268,0.16666666666666666,3,1,2,Need Attention
12405,Finland,0,2011-07-14 08:52:00,2011-07-14 08:52:00,0,139,1,1710.3900000000003,857,54,54,857.0,1.996,0.0,2,1,4,Lost
12406,Denmark,0,2011-06-09 10:23:00,2011-11-17 19:22:00,161,13,2,3280.7500000000005,1818,105,92,909.0,1.805,0.027777777777777776,4,2,5,Loyal Customers
12407,Belgium,0,2011-03-20 13:21:00,2011-10-21 10:11:00,214,40,5,1708.1199999999997,1416,77,57,283.2,1.206,0.0,3,4,4,Lost
12408,Belgium,0,2011-03-24 14:46:00,2011-11-07 12:30:00,227,23,5,2842.57,1409,105,81,281.8,2.017,0.07079646017699115,4,4,5,Loyal Customers
12409,Switzerland,0,2011-06-10 12:19:00,2011-09-22 10:38:00,103,69,3,11056.93,5551,109,91,1850.33,1.992,0.043859649122807015,2,3,5,At Risk
12410,Switzerland,0,2011-02-04 10:38:00,2011-02-11 15:47:00,7,292,2,681.0799999999999,211,26,26,105.5,3.228,0.07142857142857142,1,2,3,Lost
12412,Denmark,0,2011-06-23 13:51:00,2011-09-26 10:16:00,94,65,3,1226.88,829,61,43,276.33,1.48,0.0,3,3,4,Lost
12413,France,0,2011-01-06 16:12:00,2011-10-04 09:00:00,270,57,3,694.1500000000001,286,38,29,95.33,2.427,0.05,3,3,3,Promising
12414,Austria,0,2011-02-02 14:51:00,2011-05-06 14:51:00,93,208,3,562.41,300,18,16,100.0,1.875,0.0,1,3,3,Lost
12415,Australia,0,2011-01-06 11:12:00,2011-11-15 14:22:00,313,15,21,123725.45000000001,77374,714,444,3684.48,1.599,0.07989690721649484,4,5,5,Loyal Customers
12417,Belgium,0,2010-12-17 11:51:00,2011-11-10 15:00:00,328,20,8,3209.0699999999997,1377,172,150,172.12,2.33,0.033707865168539325,4,5,5,Loyal Customers
12418,Switzerland,0,2011-08-19 11:08:00,2011-08-19 11:08:00,0,103,1,668.58,407,34,34,407.0,1.643,0.0,2,1,3,Hibernating
12420,Cyprus,0,2011-10-07 08:55:00,2011-10-07 08:55:00,0,54,1,600.3900000000001,345,29,29,345.0,1.74,0.0,3,1,3,Need Attention
12421,Spain,0,2011-01-24 15:09:00,2011-11-24 09:07:00,303,6,4,806.2700000000001,484,45,32,121.0,1.666,0.021739130434782608,5,4,3,Loyal Customers
12422,Australia,0,2011-01-19 09:13:00,2011-09-05 09:48:00,229,86,3,803.5599999999998,370,39,39,123.33,2.172,0.0,2,3,3,About to Sleep
12423,Belgium,0,2010-12-21 10:54:00,2011-09-02 12:00:00,255,89,7,1640.47,1136,108,86,162.29,1.444,0.009174311926605505,2,5,4,At Risk
12424,Australia,0,2011-06-30 12:06:00,2011-06-30 12:06:00,0,153,2,1760.9599999999996,740,30,30,370.0,2.38,0.0,2,2,4,About to Sleep
12425,Portugal,0,2011-09-22 17:31:00,2011-09-22 17:31:00,0,69,1,777.1999999999999,496,36,36,496.0,1.567,0.0,2,1,3,Hibernating
12426,Germany,0,2011-05-29 12:26:00,2011-05-29 12:26:00,0,185,1,582.73,258,30,30,258.0,2.259,0.0,1,1,3,Hibernating
12427,Germany,0,2010-12-03 10:44:00,2011-11-28 10:48:00,360,2,3,708.37,533,31,26,177.67,1.329,0.11428571428571428,5,3,3,Loyal Customers
12428,Finland,0,2011-03-01 09:33:00,2011-11-14 08:22:00,257,16,9,7877.2,3536,294,258,392.89,2.228,0.02,4,5,5,Loyal Customers
12429,Denmark,0,2010-12-09 12:05:00,2011-11-30 17:22:00,356,0,4,3750.4,1557,97,82,389.25,2.409,0.0,5,4,5,Champions
12430,Norway,0,2011-10-27 15:09:00,2011-10-27 15:09:00,0,34,1,256.4,117,11,11,117.0,2.191,0.0,3,1,2,Need Attention
12431,Australia,0,2010-12-01 10:03:00,2011-11-04 11:55:00,338,26,15,6348.89,2896,234,163,193.07,2.192,0.01680672268907563,4,5,5,Loyal Customers
12432,Norway,0,2011-06-20 13:27:00,2011-10-28 11:43:00,129,33,5,5059.319999999999,1801,108,107,360.2,2.809,0.0,3,4,5,Lost
12433,Norway,0,2010-12-01 13:24:00,2011-11-30 14:05:00,364,0,5,10737.18,8844,354,219,1768.8,1.214,0.0,5,4,5,Champions
12434,Australia,0,2010-12-14 11:12:00,2011-09-16 12:38:00,276,75,2,765.1899999999999,394,50,46,197.0,1.942,0.07407407407407407,2,2,3,Lost
12435,Denmark,0,2011-03-17 07:40:00,2011-09-21 09:06:00,188,70,2,7829.890000000001,2055,36,31,1027.5,3.81,0.0,2,2,5,Lost
12436,Norway,0,2011-09-01 12:09:00,2011-09-01 12:09:00,0,90,1,509.01000000000005,211,16,16,211.0,2.412,0.0,2,1,3,Hibernating
12437,France,0,2011-01-12 14:13:00,2011-11-30 16:47:00,322,0,17,4730.76,2901,196,118,170.65,1.631,0.005076142131979695,5,5,5,Champions
12438,Norway,0,2011-07-22 13:29:00,2011-11-25 13:28:00,125,5,2,2906.8500000000004,1180,98,84,590.0,2.463,0.0,5,2,5,Loyal Customers
12441,France,0,2010-12-08 10:45:00,2010-12-08 10:45:00,0,357,1,173.55,121,11,11,121.0,1.434,0.0,1,1,1,Hibernating
12444,Norway,0,2011-06-21 14:00:00,2011-11-18 13:23:00,149,12,5,5005.46,1153,176,138,230.6,4.341,0.0,4,4,5,Loyal Customers
12445,Spain,0,2011-11-17 18:43:00,2011-11-17 18:43:00,0,13,1,133.4,62,4,4,62.0,2.152,0.0,4,1,1,Potential Loyalists
12446,RSA,0,2011-10-13 12:50:00,2011-10-13 12:50:00,0,48,1,1002.3100000000001,351,57,57,351.0,2.856,0.0,3,1,4,Lost
12447,Belgium,0,2011-04-10 13:25:00,2011-04-10 13:25:00,0,234,1,476.49,190,26,26,190.0,2.508,0.0,1,1,3,Hibernating
12448,Spain,0,2011-10-26 13:46:00,2011-10-26 13:46:00,0,35,1,449.4500000000001,243,22,22,243.0,1.85,0.0,3,1,2,Need Attention
12449,Belgium,0,2011-06-05 15:37:00,2011-11-17 13:46:00,164,13,4,4067.2900000000004,1553,191,118,388.25,2.619,0.0,4,4,5,Loyal Customers
12450,Spain,0,2011-06-19 14:36:00,2011-07-06 14:41:00,17,147,2,197.88,128,8,7,64.0,1.546,0.0,2,2,1,Hibernating
12451,Switzerland,0,2011-01-19 09:05:00,2011-11-29 08:40:00,313,1,5,8933.52,6575,354,265,1315.0,1.359,0.0028169014084507044,5,4,5,Champions
12452,Switzerland,0,2011-11-23 08:05:00,2011-11-23 10:28:00,0,7,2,428.57,185,22,21,92.5,2.317,0.043478260869565216,5,2,2,Potential Loyalists
12453,Austria,0,2011-07-28 14:08:00,2011-07-28 14:08:00,0,125,1,707.0899999999999,473,43,43,473.0,1.495,0.0,2,1,3,Hibernating
12455,Spain,0,2011-02-16 09:56:00,2011-09-27 15:31:00,223,64,6,2466.8599999999997,2089,90,85,348.17,1.181,0.0,3,5,5,Lost
12456,Switzerland,0,2011-03-30 09:12:00,2011-10-26 14:41:00,210,35,3,3153.89,1633,125,105,544.33,1.931,0.031007751937984496,3,3,5,Lost
12457,Switzerland,0,2011-04-14 18:57:00,2011-10-12 13:46:00,180,49,7,1917.78,843,62,53,120.43,2.275,0.07462686567164178,3,5,4,Lost
12458,Switzerland,0,2011-02-28 10:55:00,2011-09-29 15:25:00,213,62,2,947.4,506,38,35,253.0,1.872,0.0,3,2,4,Promising
12461,Switzerland,0,2011-07-08 10:23:00,2011-09-06 16:57:00,60,85,2,826.88,287,35,35,143.5,2.881,0.0,2,2,3,Lost
12462,Spain,0,2011-02-09 14:44:00,2011-11-21 09:11:00,284,9,2,1168.79,536,62,51,268.0,2.181,0.06060606060606061,5,2,4,Loyal Customers
12463,Belgium,0,2011-04-12 12:47:00,2011-10-24 13:43:00,195,37,4,1303.63,776,83,65,194.0,1.68,0.056818181818181816,3,4,4,Lost
12464,Belgium,0,2011-02-03 13:30:00,2011-11-29 13:33:00,299,1,8,1212.05,112,29,6,14.0,10.822,0.0,5,5,4,Champions
12465,Belgium,0,2011-06-23 13:37:00,2011-11-22 16:34:00,152,8,2,742.19,479,47,46,239.5,1.549,0.0,5,2,3,Lost
12468,Germany,0,2011-01-27 13:29:00,2011-07-19 13:42:00,173,134,2,724.04,366,38,36,183.0,1.978,0.05,2,2,3,Lost
12471,Germany,0,2010-12-02 10:37:00,2011-11-29 13:01:00,362,1,29,16467.010000000002,7310,421,150,252.07,2.253,0.1443089430894309,5,5,5,Champions
12472,Germany,0,2010-12-01 14:33:00,2011-11-09 11:33:00,342,21,7,6229.48,4148,339,219,592.57,1.502,0.1329923273657289,4,5,5,Loyal Customers
12473,Germany,0,2011-06-01 10:15:00,2011-11-10 13:48:00,162,20,5,2837.73,2414,167,140,482.8,1.176,0.06179775280898876,4,4,5,Loyal Customers
12474,Germany,0,2010-12-06 12:00:00,2011-11-22 14:39:00,351,8,18,7064.7699999999995,4833,422,253,268.5,1.462,0.07252747252747253,5,5,5,Champions
12475,Germany,0,2011-10-17 10:10:00,2011-10-17 10:10:00,0,44,1,723.3799999999999,535,36,36,535.0,1.352,0.0,3,1,3,Need Attention
12476,Germany,0,2010-12-13 14:37:00,2011-11-24 12:40:00,345,6,11,6645.33,2408,233,177,218.91,2.76,0.07171314741035857,5,5,5,Champions
12477,Germany,0,2011-02-01 11:09:00,2011-11-17 09:51:00,288,13,6,13117.01,3653,300,191,608.83,3.591,0.025974025974025976,4,5,5,Loyal Customers
12479,Germany,0,2011-11-28 13:26:00,2011-11-28 13:26:00,0,2,1,527.2,385,31,31,385.0,1.369,0.0,5,1,3,Potential Loyalists
12480,Germany,0,2011-01-07 15:27:00,2011-11-11 14:52:00,307,19,4,3281.6299999999997,1707,154,129,426.75,1.922,0.0,4,4,5,Loyal Customers
12481,Germany,0,2010-12-09 10:13:00,2011-11-17 08:29:00,342,13,10,5574.36,3294,216,150,329.4,1.692,0.004608294930875576,4,5,5,Loyal Customers
12483,Sweden,0,2011-01-04 14:20:00,2011-11-22 17:03:00,322,8,8,2327.13,1110,75,46,138.75,2.097,0.07407407407407407,5,5,5,Champions
12484,Spain,0,2011-01-07 14:04:00,2011-11-07 11:37:00,303,23,6,4480.870000000001,2187,343,256,364.5,2.049,0.011527377521613832,4,5,5,Loyal Customers
12488,France,0,2011-09-25 10:34:00,2011-11-30 08:50:00,65,0,3,1298.6600000000003,529,55,46,176.33,2.455,0.0,5,3,4,Loyal Customers
12489,France,0,2011-01-07 13:13:00,2011-01-07 13:13:00,0,327,1,334.92999999999995,105,15,15,105.0,3.19,0.0,1,1,2,Hibernating
12490,France,0,2011-01-14 09:13:00,2011-11-22 11:19:00,312,8,9,4955.629999999999,2809,219,126,312.11,1.764,0.0,5,5,5,Champions
12491,France,0,2011-11-01 12:18:00,2011-11-01 12:18:00,0,29,1,460.40000000000003,260,26,25,260.0,1.771,0.0,4,1,2,Potential Loyalists
12492,Germany,0,2011-08-26 14:51:00,2011-10-07 15:15:00,42,54,2,263.21,192,20,19,96.0,1.371,0.0,3,2,2,Need Attention
12493,France,0,2011-05-26 14:53:00,2011-06-27 10:17:00,31,156,2,416.79,207,22,20,103.5,2.013,0.043478260869565216,2,2,2,Hibernating
12494,France,0,2010-12-09 11:31:00,2011-11-30 09:21:00,355,0,7,1139.35,707,77,63,101.0,1.612,0.08333333333333333,5,5,4,Champions
12497,Germany,0,2011-09-19 12:29:00,2011-09-19 12:29:00,0,72,1,1043.1,1236,14,14,1236.0,0.844,0.0,2,1,4,Lost
12498,Germany,0,2011-10-13 09:30:00,2011-11-18 12:53:00,36,12,3,403.7,159,23,21,53.0,2.539,0.0,4,3,2,Lost
12500,Germany,0,2011-01-10 09:48:00,2011-11-16 16:20:00,310,14,11,4206.27,2678,61,34,243.45,1.571,0.06153846153846154,4,5,5,Loyal Customers
12501,Germany,0,2011-01-07 12:28:00,2011-01-28 13:54:00,21,306,1,2089.68,1783,149,149,1783.0,1.172,0.06875,1,1,5,Lost
12502,Spain,0,2011-02-03 10:41:00,2011-09-05 11:52:00,214,86,5,3723.87,820,147,102,164.0,4.541,0.0,2,4,5,At Risk
12504,Germany,0,2011-11-09 14:56:00,2011-11-21 16:02:00,12,9,2,114.00000000000003,90,9,6,45.0,1.267,0.4,5,2,1,Potential Loyalists
12506,France,0,2011-04-21 08:54:00,2011-04-21 08:54:00,0,223,1,73.50000000000001,23,23,23,23.0,3.196,0.0,1,1,1,Hibernating
12507,Spain,0,2011-02-14 09:24:00,2011-07-28 17:09:00,164,125,3,1258.06,894,21,19,298.0,1.407,0.045454545454545456,2,3,4,Lost
12508,France,0,2011-11-10 16:27:00,2011-11-13 15:37:00,2,17,2,397.88,271,68,57,135.5,1.468,0.0,4,2,2,Potential Loyalists
12509,France,0,2011-02-28 14:45:00,2011-02-28 14:45:00,0,275,1,176.5,55,7,7,55.0,3.209,0.0,1,1,1,Hibernating
12510,Spain,0,2011-01-18 14:04:00,2011-07-20 10:15:00,182,133,2,982.5699999999999,353,33,29,176.5,2.783,0.0,2,2,4,About to Sleep
12512,Israel,0,2011-10-04 14:53:00,2011-10-04 14:55:00,0,57,2,132.18,96,31,31,48.0,1.377,0.0,3,2,1,Need Attention
12513,France,0,2011-08-19 10:51:00,2011-09-16 12:45:00,28,75,1,586.7900000000001,462,35,35,462.0,1.27,0.027777777777777776,2,1,3,Hibernating
12514,Italy,0,2011-03-17 16:38:00,2011-03-17 16:38:00,0,258,1,1017.6800000000001,440,51,51,440.0,2.313,0.0,1,1,4,Lost
12515,Italy,0,2010-12-21 15:43:00,2010-12-21 15:43:00,0,344,1,383.70000000000005,131,16,16,131.0,2.929,0.0,1,1,2,Hibernating
12516,Germany,0,2011-06-12 11:37:00,2011-09-23 09:13:00,102,68,2,1312.06,875,26,20,437.5,1.499,0.0,2,2,4,About to Sleep
12517,Germany,0,2011-06-02 15:13:00,2011-11-11 14:04:00,161,19,5,2443.6499999999996,1361,279,232,272.2,1.795,0.0071174377224199285,4,4,5,Loyal Customers
12518,Germany,0,2011-08-21 13:18:00,2011-11-11 11:18:00,81,19,4,1717.7500000000002,1130,106,75,282.5,1.52,0.0,4,4,4,Loyal Customers
12519,Germany,0,2011-10-07 09:26:00,2011-10-07 09:26:00,0,54,1,330.84000000000003,175,17,17,175.0,1.891,0.0,3,1,2,Need Attention
12520,Germany,0,2011-03-11 11:35:00,2011-09-21 15:23:00,194,70,5,2582.51,1439,152,121,287.8,1.795,0.01935483870967742,2,4,5,At Risk
12521,Germany,0,2011-07-20 10:51:00,2011-07-20 10:51:00,0,133,1,599.68,309,38,38,309.0,1.941,0.0,2,1,3,Hibernating
12522,Germany,0,2011-10-19 14:41:00,2011-10-31 15:30:00,12,30,2,192.72000000000003,194,12,11,97.0,0.993,0.0,3,2,1,Need Attention
12523,France,0,2011-01-12 09:43:00,2011-11-20 12:55:00,312,10,11,1764.7699999999998,865,106,84,78.64,2.04,0.009345794392523364,5,5,4,Champions
12524,Germany,0,2011-01-10 10:35:00,2011-11-30 15:31:00,324,0,8,4485.719999999999,3699,144,113,462.38,1.213,0.0,5,5,5,Champions
12526,Germany,0,2011-09-06 14:19:00,2011-10-17 09:37:00,40,44,2,1039.58,544,58,54,272.0,1.911,0.0,3,2,4,Promising
12527,Germany,0,2011-01-18 12:05:00,2011-09-19 11:55:00,243,72,3,348.71000000000004,234,18,18,78.0,1.49,0.0,2,3,2,Lost
12528,Germany,0,2011-01-31 09:05:00,2011-11-30 14:40:00,303,0,6,1922.28,756,92,50,126.0,2.543,0.031578947368421054,5,5,5,Champions
12530,Germany,0,2011-01-07 10:04:00,2011-10-11 12:34:00,277,50,4,1623.6300000000003,913,66,51,228.25,1.778,0.029411764705882353,3,4,4,Lost
12531,Germany,0,2011-11-25 11:12:00,2011-11-25 11:12:00,0,5,1,125.22,45,17,17,45.0,2.783,0.0,5,1,1,Potential Loyalists
12532,France,0,2011-11-09 13:47:00,2011-11-09 13:47:00,0,21,1,349.83000000000004,153,16,16,153.0,2.286,0.0,4,1,2,Potential Loyalists
12534,Germany,0,2011-08-01 10:26:00,2011-08-01 10:26:00,0,121,1,1089.18,651,63,63,651.0,1.673,0.0,2,1,4,Lost
12535,France,0,2011-06-06 12:47:00,2011-09-09 08:48:00,94,82,2,716.35,219,34,28,109.5,3.271,0.0,2,2,3,Lost
12536,France,0,2011-10-11 14:52:00,2011-10-27 14:20:00,15,34,3,4279.709999999999,2803,261,260,934.33,1.527,0.003816793893129771,3,3,5,Lost
12538,Spain,0,2011-11-10 17:16:00,2011-11-10 17:16:00,0,20,1,363.95,191,21,21,191.0,1.905,0.0,4,1,2,Potential Loyalists
12539,Spain,0,2011-01-10 09:11:00,2011-11-17 13:30:00,311,13,4,3852.5,2067,273,157,516.75,1.864,0.0036496350364963502,4,4,5,Loyal Customers
12540,Spain,0,2010-12-13 09:39:00,2011-11-20 11:31:00,342,10,17,13309.039999999999,6685,478,277,393.24,1.991,0.006237006237006237,5,5,5,Champions
12541,Spain,0,2011-03-04 09:32:00,2011-11-10 10:40:00,251,20,3,981.1800000000002,680,52,46,226.67,1.443,0.0,4,3,4,Loyal Customers
12544,Spain,0,2011-11-03 16:15:00,2011-11-10 11:12:00,6,20,1,355.70000000000005,136,19,19,136.0,2.615,0.05,4,1,2,Potential Loyalists
12545,Spain,0,2011-03-25 12:04:00,2011-09-25 13:39:00,184,66,2,1000.39,523,50,42,261.5,1.913,0.0,2,2,4,About to Sleep
12546,Spain,0,2011-09-23 09:44:00,2011-10-24 12:09:00,31,37,2,1141.5,633,69,59,316.5,1.803,0.014285714285714285,3,2,4,Promising
12547,Spain,0,2011-03-04 12:46:00,2011-05-26 12:38:00,82,188,2,207.8,134,8,7,67.0,1.551,0.0,1,2,1,Hibernating
12548,Spain,0,2011-06-26 15:35:00,2011-06-26 15:35:00,0,157,1,95.19999999999999,49,5,5,49.0,1.943,0.0,2,1,1,Hibernating
12550,Spain,0,2011-09-21 14:35:00,2011-09-21 14:35:00,0,70,1,964.83,569,57,57,569.0,1.696,0.0,2,1,4,Lost
12551,Spain,0,2010-12-17 11:23:00,2010-12-17 11:23:00,0,348,1,168.0,100,10,10,100.0,1.68,0.0,1,1,1,Hibernating
12552,Italy,0,2011-10-31 12:11:00,2011-11-01 10:02:00,0,29,2,437.82,88,20,20,44.0,4.975,0.0,4,2,2,Potential Loyalists
12553,France,0,2011-01-14 10:42:00,2011-11-30 11:39:00,320,0,9,3375.23,1796,181,95,199.56,1.879,0.026881720430107527,5,5,5,Champions
12556,Spain,0,2011-07-11 13:35:00,2011-10-20 13:06:00,100,41,2,599.56,355,119,100,177.5,1.689,0.0,3,2,3,Lost
12557,Spain,0,2010-12-03 12:20:00,2011-11-23 16:59:00,355,7,5,11990.96,4384,33,15,876.8,2.735,0.0,5,4,5,Champions
12559,Germany,0,2011-01-24 10:12:00,2011-02-02 09:49:00,8,301,2,536.2099999999999,283,21,21,141.5,1.895,0.045454545454545456,1,2,3,Lost
12560,Germany,0,2011-07-19 15:55:00,2011-08-31 12:39:00,42,91,2,1403.6899999999998,820,77,77,410.0,1.712,0.07228915662650602,2,2,4,About to Sleep
12561,Germany,0,2011-02-10 11:39:00,2011-02-10 11:39:00,0,293,1,238.85,177,16,16,177.0,1.349,0.0,1,1,1,Hibernating
12562,France,0,2011-05-25 12:44:00,2011-11-17 11:34:00,175,13,6,3127.37,1456,146,87,242.67,2.148,0.0,4,5,5,Loyal Customers
12564,France,0,2011-03-23 14:55:00,2011-03-23 14:55:00,0,252,1,456.90000000000003,133,21,21,133.0,3.435,0.0,1,1,2,Hibernating
12565,Saudi Arabia,0,2011-02-24 10:34:00,2011-03-03 11:43:00,7,272,1,131.17000000000002,80,9,9,80.0,1.64,0.1,1,1,1,Hibernating
12566,Germany,0,2011-09-14 14:30:00,2011-09-28 09:57:00,13,63,1,346.7,265,19,19,265.0,1.308,0.05,3,1,2,Need Attention
12567,France,0,2010-12-05 11:57:00,2011-11-17 11:02:00,346,13,10,9114.94,4305,446,323,430.5,2.117,0.0367170626349892,4,5,5,Loyal Customers
12569,Germany,0,2011-04-01 13:47:00,2011-11-23 14:39:00,236,7,26,3369.9700000000003,1501,151,78,57.73,2.245,0.01948051948051948,5,5,5,Champions
12571,France,0,2011-08-10 12:35:00,2011-10-31 10:19:00,81,30,2,519.61,523,34,31,261.5,0.994,0.0,3,2,3,Lost
